Team,A Move,Gravy,Outer,Low,Missed NEG,Gravy,High,Low ,Missed NEG,Rotation,Position,Climbed,Climb Tik NEG,Z-score FINAL
5137,0.4071725355,1.264472339,0.5081585634,-0.1739352611,0,5.933303005,1.516176234,-0.3241099281,0,0,0,0.6187184335,-0.5781282971,9.171827625
5199,0.4071725355,-0.5138173316,0.3311355671,-0.1739352611,0,1.53254209,0.8985136907,-0.3241099281,0,0,0,0.8081220356,-0.7344979562,2.231125442
5496,0.4071725355,0.6717091158,1.024475636,-0.1739352611,0,0.6220398312,2.739847309,-0.3241099281,0,0,0,-0.7071067812,0.712504859,4.972597316
5514,-0.6665026623,-0.5138173316,-0.7310024104,-0.1739352611,0,-1.502465438,-1.339056276,3.297655376,0,0,0,0.3535533906,-0.2840599831,-1.559630597
5526,0.4071725355,-0.5138173316,0.8031968905,-0.1739352611,0,0.3185390784,1.084977855,-0.3241099281,0,0,0,-0.7071067812,0.2550652594,1.149982316
5678,-0.6665026623,-0.5138173316,-0.7310024104,-0.1739352611,0,-1.502465438,-1.339056276,-0.2033844179,0,0,0,-0.7071067812,0.9984046088,-4.83886597
5805,-0.6665026623,-0.5138173316,-0.627738996,-0.1739352611,0,-1.502465438,-1.012743989,-0.3241099281,0,0,0,-0.7071067812,1.186281587,-4.342138801
5851,-0.6665026623,-0.5138173316,-0.627738996,-0.1739352611,0,0.6220398312,0.5372393732,-0.3241099281,0,0,0,0.8838834765,-0.8721966112,-1.135138109
6479,0.4071725355,-0.5138173316,-0.1114219235,-0.1739352611,0,5.402176688,2.495113094,-0.3241099281,0,0,0,-0.7071067812,0.8840447089,7.358115801
6695,0.4071725355,0.0789458921,-0.008158509045,-0.1739352611,0,-1.502465438,-1.012743989,-0.3241099281,0,0,0,-0.1767766953,-0.7169938899,-3.429065284
6704,0.4071725355,0.1636263526,0.5671662288,-0.1739352611,0,-0.8954639328,0.1526570351,-0.3241099281,0,0,0,1.111167799,-0.8278529765,0.1804278525
